line-id,part-name,group-name,subgroup-name,asset,account,amount,direction,date
1,Innere Verwaltung,Verwaltungssteuerung und -service,,Steuern und ähnliche Abgaben,0,Ertrag,2013-31-12
2,Innere Verwaltung,Verwaltungssteuerung und -service,,Zuwendungen und Umlagen nach Arten und aufgelöste Sonderposten,3155215,Ertrag,2013-31-12
3,Innere Verwaltung,Verwaltungssteuerung und -service,,sonstige Transfererträge,0,Ertrag,2013-31-12
4,Innere Verwaltung,Verwaltungssteuerung und -service,,öffentlich-rechtliche Leistungsentgelte,38650,Ertrag,2013-31-12
5,Innere Verwaltung,Verwaltungssteuerung und -service,,privatrechtliche Leistungsentgelte,11855350,Ertrag,2013-31-12
6,Innere Verwaltung,Verwaltungssteuerung und -service,,Kostenerstattungen und Kostenumlagen,4887850,Ertrag,2013-31-12
7,Innere Verwaltung,Verwaltungssteuerung und -service,,Finanzerträge (Zinsen, Erträge aus Beteiligungen und ähnliche Erträge),1255000,Ertrag,2013-31-12
8,Innere Verwaltung,Verwaltungssteuerung und -service,,aktivierte Eigenleistungen und Bestandsveränderungen,1334930,Ertrag,2013-31-12
9,Innere Verwaltung,Verwaltungssteuerung und -service,,sonstige ordentliche Erträge,7511600,Ertrag,2013-31-12
10,Innere Verwaltung,Verwaltungssteuerung und -service,,Personalaufwendungen,-85046100,Aufwendung,2013-31-12
11,Innere Verwaltung,Verwaltungssteuerung und -service,,Versorgungsaufwendungen,553250,Aufwendung,2013-31-12
12,Innere Verwaltung,Verwaltungssteuerung und -service,,Aufwendungen für Sach- und Dienstleistungen,-39360300,Aufwendung,2013-31-12
13,Innere Verwaltung,Verwaltungssteuerung und -service,,planmäßige Abschreibungen,-12012363,Aufwendung,2013-31-12
14,Innere Verwaltung,Verwaltungssteuerung und -service,,Zinsen und ähnliche Aufwendungen,-19000,Aufwendung,2013-31-12
15,Innere Verwaltung,Verwaltungssteuerung und -service,,Transferaufwendungen,-4000000,Aufwendung,2013-31-12
16,Innere Verwaltung,Verwaltungssteuerung und -service,,sonstige ordentliche Aufwendungen,-25876300,Aufwendung,2013-31-12
17,Sicherheit und Ordnung,Statistik und Wahlen,,Steuern und ähnliche Abgaben,0,Ertrag,2013-31-12
18,Sicherheit und Ordnung,Statistik und Wahlen,,Zuwendungen und Umlagen nach Arten und aufgelöste Sonderposten,16,Ertrag,2013-31-12
19,Sicherheit und Ordnung,Statistik und Wahlen,,sonstige Transfererträge,0,Ertrag,2013-31-12
20,Sicherheit und Ordnung,Statistik und Wahlen,,öffentlich-rechtliche Leistungsentgelte,0,Ertrag,2013-31-12
21,Sicherheit und Ordnung,Statistik und Wahlen,,privatrechtliche Leistungsentgelte,5000,Ertrag,2013-31-12
22,Sicherheit und Ordnung,Statistik und Wahlen,,Kostenerstattungen und Kostenumlagen,490200,Ertrag,2013-31-12
23,Sicherheit und Ordnung,Statistik und Wahlen,,Finanzerträge (Zinsen, Erträge aus Beteiligungen und ähnliche Erträge),0,Ertrag,2013-31-12
24,Sicherheit und Ordnung,Statistik und Wahlen,,aktivierte Eigenleistungen und Bestandsveränderungen,0,Ertrag,2013-31-12
25,Sicherheit und Ordnung,Statistik und Wahlen,,sonstige ordentliche Erträge,0,Ertrag,2013-31-12
26,Sicherheit und Ordnung,Statistik und Wahlen,,Personalaufwendungen,-680900,Aufwendung,2013-31-12
27,Sicherheit und Ordnung,Statistik und Wahlen,,Versorgungsaufwendungen,0,Aufwendung,2013-31-12
28,Sicherheit und Ordnung,Statistik und Wahlen,,Aufwendungen für Sach- und Dienstleistungen,-91900,Aufwendung,2013-31-12
29,Sicherheit und Ordnung,Statistik und Wahlen,,planmäßige Abschreibungen,-10547,Aufwendung,2013-31-12
30,Sicherheit und Ordnung,Statistik und Wahlen,,Zinsen und ähnliche Aufwendungen,0,Aufwendung,2013-31-12
31,Sicherheit und Ordnung,Statistik und Wahlen,,Transferaufwendungen,0,Aufwendung,2013-31-12
32,Sicherheit und Ordnung,Statistik und Wahlen,,sonstige ordentliche Aufwendungen,-573700,Aufwendung,2013-31-12
33,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Steuern und ähnliche Abgaben,0,Ertrag,2013-31-12
34,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Zuwendungen und Umlagen nach Arten und aufgelöste Sonderposten,5083,Ertrag,2013-31-12
35,Sicherheit und Ordnung,Ordnungsangelegenheiten,,sonstige Transfererträge,0,Ertrag,2013-31-12
36,Sicherheit und Ordnung,Ordnungsangelegenheiten,,öffentlich-rechtliche Leistungsentgelte,13339900,Ertrag,2013-31-12
37,Sicherheit und Ordnung,Ordnungsangelegenheiten,,privatrechtliche Leistungsentgelte,112300,Ertrag,2013-31-12
38,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Kostenerstattungen und Kostenumlagen,6800,Ertrag,2013-31-12
39,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Finanzerträge (Zinsen, Erträge aus Beteiligungen und ähnliche Erträge),0,Ertrag,2013-31-12
40,Sicherheit und Ordnung,Ordnungsangelegenheiten,,aktivierte Eigenleistungen und Bestandsveränderungen,800000,Ertrag,2013-31-12
41,Sicherheit und Ordnung,Ordnungsangelegenheiten,,sonstige ordentliche Erträge,7185200,Ertrag,2013-31-12
42,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Personalaufwendungen,-29798250,Aufwendung,2013-31-12
43,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Versorgungsaufwendungen,0,Aufwendung,2013-31-12
44,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Aufwendungen für Sach- und Dienstleistungen,-3476250,Aufwendung,2013-31-12
45,Sicherheit und Ordnung,Ordnungsangelegenheiten,,planmäßige Abschreibungen,-426716,Aufwendung,2013-31-12
46,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Zinsen und ähnliche Aufwendungen,0,Aufwendung,2013-31-12
47,Sicherheit und Ordnung,Ordnungsangelegenheiten,,Transferaufwendungen,-145450,Aufwendung,2013-31-12
48,Sicherheit und Ordnung,Ordnungsangelegenheiten,,sonstige ordentliche Aufwendungen,-5761500,Aufwendung,2013-31-12
49,Sicherheit und Ordnung,Brandschutz,,Steuern und ähnliche Abgaben,0,Ertrag,2013-31-12
50,Sicherheit und Ordnung,Brandschutz,,Zuwendungen und Umlagen nach Arten und aufgelöste Sonderposten,1641686,Ertrag,2013-31-12
51,Sicherheit und Ordnung,Brandschutz,,sonstige Transfererträge,0,Ertrag,2013-31-12
52,Sicherheit und Ordnung,Brandschutz,,öffentlich-rechtliche Leistungsentgelte,989000,Ertrag,2013-31-12
53,Sicherheit und Ordnung,Brandschutz,,privatrechtliche Leistungsentgelte,67800,Ertrag,2013-31-12
54,Sicherheit und Ordnung,Brandschutz,,Kostenerstattungen und Kostenumlagen,20000,Ertrag,2013-31-12
